// Muzzle Anims

PistolVFX                               ;playerPistol_muzzle
MagnumPistolVFX                         ;muzzle18
MachineGunVFX                           ;playerMachineGun_muzzle
ShotGunVFX                              ;playerShotGunMuzzle
HammerGunVFX                            ;playerHammerGun_muzzle
LaserGunVFX                             ;playerLaser_muzzle
ThunderGunVFX                           ;playerThunderGun_muzzle
LightningGunVFX                         ;muzzle26
WeaponXVFX                              ;playerWeaponX_muzzle
RocketLauncher1VFX                      ;playerRocketLauncher_muzzle
RocketLauncher2VFX                      ;playerRocketLauncher_muzzle
RocketLauncher3VFX                      ;playerRocketLauncher_muzzle
RocketLauncher4VFX                      ;playerRocketLauncher_muzzle
GatlingGunVFX                           ;muzzle18
WideGunVFX                              ;playerWideGun_muzzle
SuperWideGunVFX                         ;superWideGun_muzzle
GrenadeLauncherVFX                      ;playerGranedeLauncher_muzzle
HomingGunVFX                            ;playerChaser_muzzle
FireGunVFX                              ;playerFireGun_muzzle
BouncyGunVFX                            ;playerBounceGun_muzzle
AlienGunVFX                             ;playerOmegaGun_muzzle
PlasmaGunVFX                            ;playerOmegaGun_muzzle
NuclearBlasterVFX                       ;playerNuclearBlaster_muzzle
MachineGun1VFX                          ;playerMachineGun_muzzle1
MachineGun7VFX                          ;playerMachineGun_muzzle2
MachineGun8VFX                          ;playerMachineGun_muzzle3
MachineGun2VFX                          ;playerMachineGun_muzzle4
MachineGun3VFX                          ;playerMachineGun_muzzle5
MachineGun6VFX                          ;playerMachineGun_muzzle6
MachineGun4VFX                          ;playerMachineGun_muzzle7
MachineGun5VFX                          ;timelineFX/playerMuzzle/mgGun
ShotGun1VFX                             ;muzzle18
ShotGun2VFX                             ;muzzle18
ShotGun3VFX                             ;muzzle18
ShotGun4VFX                             ;muzzle18
ShotGun5VFX                             ;muzzle18
Smg1VFX                                 ;playerSMG_muzzle1
Smg2VFX                                 ;playerSMG_muzzle2
Smg3VFX                                 ;playerSMG_muzzle3
Smg4VFX                                 ;playerSmg_muzzle
Smg5VFX                                 ;playerSMG_muzzle5
HandGun1VFX                             ;playerPistol_muzzle1
HandGun2VFX                             ;playerPistol_muzzle2
HandGun3VFX                             ;playerPistol_muzzle3
HandGun4VFX                             ;playerPistol_muzzle4
HandGun5VFX                             ;playerPistol_muzzle5
HandGun6VFX                             ;playerPistol_muzzle6
HandGun7VFX                             ;playerPistol_muzzle7
HandGun8VFX                             ;playerPistol_muzzle8

// Critical Muzzle Anims
PistolCriticalVFX                       ;playerPistol_muzzle
MagnumPistolCriticalVFX                 ;muzzle18
MachineGunCriticalVFX                   ;playerMachineGun_muzzle
ShotGunCriticalVFX                      ;playerShotGunMuzzle
HammerGunCriticalVFX                    ;playerHammerGun_muzzle_CR
LaserGunCriticalVFX                     ;playerLaser_muzzle_CR
ThunderGunCriticalVFX                   ;playerThunderGun_muzzle_CR
LightningGunCriticalVFX                 ;muzzle26
WeaponXCriticalVFX                      ;playerWeaponX_muzzle_CR
